school,sex,age,address,aggregated_notation,studytime,absences,Dalc,Medu,Fedu,health,famrel
MS,Masculin,18,Ville,6.67,2 à 5 heures,9,1,bac à bac+2,bac à bac+2,3,4
MS,Masculin,16,Campagne,7.67,Moins de 2h,6,2,baccalauréat,baccalauréat,4,5
MS,Masculin,19,Ville,8.67,Moins de 2h,4,1,baccalauréat,brevet,5,4
MS,Féminin,16,Ville,5.67,2 à 5 heures,8,1,bac à bac+2,baccalauréat,1,2
MS,Féminin,17,Ville,8.67,Moins de 2h,9,1,brevet,brevet,5,4
MS,Masculin,20,Campagne,9.67,Moins de 2h,12,2,brevet,brevet,4,4
MS,Féminin,18,Campagne,10.33,Moins de 2h,8,3,bac +3 et plus,bac à bac+2,2,5
MS,Masculin,18,Campagne,10.0,Moins de 2h,8,5,bac à bac+2,baccalauréat,5,2
MS,Masculin,19,Campagne,10.0,2 à 5 heures,8,3,brevet,brevet,2,5
MS,Masculin,17,Ville,9.0,2 à 5 heures,4,2,bac à bac+2,bac à bac+2,3,4
MS,Masculin,18,Ville,9.33,Moins de 2h,0,2,brevet,bac à bac+2,3,4
MS,Masculin,19,Campagne,9.0,Moins de 2h,4,3,brevet,brevet,5,4
MS,Féminin,18,Ville,7.33,2 à 5 heures,2,1,brevet,baccalauréat,5,4
MS,Féminin,19,Ville,7.0,Moins de 2h,0,1,brevet,brevet,5,1
MS,Féminin,18,Campagne,4.67,Moins de 2h,0,1,baccalauréat,baccalauréat,3,5
MS,Féminin,17,Campagne,10.67,Moins de 2h,0,1,aucun,aucun,5,4
MS,Féminin,17,Campagne,7.67,5 à 10 heures,5,2,bac à bac+2,brevet,3,4
MS,Féminin,17,Ville,5.33,2 à 5 heures,0,1,bac +3 et plus,baccalauréat,5,5
MS,Féminin,18,Campagne,7.0,2 à 5 heures,3,1,baccalauréat,baccalauréat,4,2
MS,Féminin,17,Ville,9.0,Moins de 2h,0,1,bac +3 et plus,brevet,5,3
MS,Féminin,17,Ville,9.0,Moins de 2h,0,1,brevet,baccalauréat,3,5
MS,Féminin,18,Ville,7.33,2 à 5 heures,3,2,brevet,brevet,5,3
MS,Féminin,18,Ville,13.0,2 à 5 heures,2,1,baccalauréat,baccalauréat,1,4
MS,Féminin,17,Ville,12.0,Moins de 2h,0,1,bac à bac+2,bac à bac+2,4,4
MS,Féminin,18,Ville,13.0,2 à 5 heures,0,1,brevet,baccalauréat,4,4
MS,Féminin,18,Ville,18.0,2 à 5 heures,0,1,bac +3 et plus,bac +3 et plus,1,4
MS,Masculin,18,Ville,17.0,Moins de 2h,3,1,bac +3 et plus,bac +3 et plus,5,5
MS,Féminin,17,Ville,17.67,2 à 5 heures,0,1,bac +3 et plus,baccalauréat,4,4
MS,Féminin,18,Campagne,3.0,2 à 5 heures,0,1,baccalauréat,baccalauréat,4,4
MS,Masculin,18,Ville,10.67,Moins de 2h,8,5,brevet,baccalauréat,1,4
MS,Masculin,18,Campagne,13.0,Moins de 2h,5,1,bac +3 et plus,bac +3 et plus,1,2
MS,Masculin,17,Campagne,13.0,Moins de 2h,4,3,brevet,brevet,4,4
MS,Féminin,18,Ville,8.67,2 à 5 heures,4,1,baccalauréat,baccalauréat,2,1
MS,Féminin,18,Ville,12.0,5 à 10 heures,0,1,baccalauréat,baccalauréat,3,5
MS,Féminin,18,Campagne,1.67,2 à 5 heures,0,1,bac +3 et plus,baccalauréat,5,5
MS,Féminin,18,Ville,9.67,2 à 5 heures,2,1,brevet,brevet,2,4
MS,Féminin,19,Ville,1.67,Moins de 2h,0,2,brevet,brevet,2,5
MS,Féminin,17,Ville,18.0,Plus de 10h,0,3,bac +3 et plus,baccalauréat,5,4
MS,Féminin,17,Campagne,11.33,2 à 5 heures,5,1,baccalauréat,brevet,2,5
MS,Féminin,18,Ville,9.67,2 à 5 heures,2,1,brevet,brevet,3,5
MS,Féminin,18,Ville,11.33,2 à 5 heures,0,1,brevet,baccalauréat,4,4
MS,Féminin,19,Campagne,2.67,2 à 5 heures,0,1,brevet,brevet,1,3
MS,Féminin,18,Campagne,14.33,5 à 10 heures,5,1,baccalauréat,baccalauréat,4,4
MS,Masculin,17,Campagne,10.67,2 à 5 heures,4,1,bac +3 et plus,bac à bac+2,2,4
MS,Féminin,18,Ville,10.0,2 à 5 heures,0,1,bac à bac+2,bac à bac+2,5,5
MS,Féminin,17,Campagne,12.0,2 à 5 heures,2,1,bac +3 et plus,bac +3 et plus,5,4
MS,Féminin,17,Ville,14.67,2 à 5 heures,0,1,bac à bac+2,baccalauréat,5,1
MS,Masculin,18,Ville,13.67,Moins de 2h,2,1,brevet,brevet,3,3
MS,Féminin,18,Ville,18.0,5 à 10 heures,0,1,brevet,brevet,4,5
MS,Féminin,18,Campagne,15.33,2 à 5 heures,0,1,brevet,baccalauréat,5,4
MS,Féminin,18,Ville,12.67,2 à 5 heures,6,1,bac à bac+2,bac à bac+2,3,4
MS,Féminin,17,Ville,14.67,2 à 5 heures,4,1,bac +3 et plus,bac +3 et plus,1,2
MS,Féminin,17,Campagne,13.0,2 à 5 heures,0,1,brevet,baccalauréat,3,3
MS,Masculin,18,Campagne,9.0,2 à 5 heures,0,2,brevet,bac à bac+2,3,3
MS,Masculin,18,Ville,15.67,5 à 10 heures,0,2,bac +3 et plus,bac +3 et plus,5,4
MS,Féminin,17,Campagne,8.33,Moins de 2h,0,1,brevet,brevet,1,5
MS,Féminin,18,Ville,10.0,Moins de 2h,0,1,baccalauréat,bac à bac+2,4,5
MS,Féminin,18,Campagne,4.0,2 à 5 heures,0,4,bac +3 et plus,bac +3 et plus,5,3
MS,Masculin,18,Campagne,9.67,Moins de 2h,3,2,brevet,baccalauréat,3,4
MS,Féminin,17,Ville,11.0,5 à 10 heures,8,1,baccalauréat,baccalauréat,3,3
MS,Féminin,17,Campagne,8.0,Moins de 2h,4,1,brevet,baccalauréat,1,3
MS,Féminin,18,Campagne,16.33,5 à 10 heures,0,1,bac +3 et plus,bac +3 et plus,1,5
MS,Féminin,18,Campagne,11.0,5 à 10 heures,4,1,brevet,brevet,4,4
MS,Féminin,19,Campagne,8.0,2 à 5 heures,4,1,brevet,brevet,3,4
MS,Féminin,18,Campagne,13.67,2 à 5 heures,1,3,bac +3 et plus,bac +3 et plus,2,5
MS,Féminin,18,Ville,16.0,2 à 5 heures,1,1,bac à bac+2,bac à bac+2,1,4
MS,Féminin,17,Campagne,8.67,2 à 5 heures,10,2,bac à bac+2,brevet,1,4
MS,Masculin,18,Ville,18.0,2 à 5 heures,4,1,bac +3 et plus,bac +3 et plus,2,3
MS,Masculin,18,Campagne,4.67,Moins de 2h,0,1,baccalauréat,brevet,5,4
MS,Masculin,17,Ville,15.0,2 à 5 heures,4,1,baccalauréat,bac à bac+2,3,4
MS,Masculin,19,Campagne,4.33,Moins de 2h,0,1,brevet,brevet,5,4
MS,Masculin,18,Campagne,4.67,Moins de 2h,0,4,bac +3 et plus,baccalauréat,3,5
MS,Féminin,18,Campagne,15.33,5 à 10 heures,0,1,baccalauréat,baccalauréat,4,5
MS,Féminin,17,Ville,8.67,2 à 5 heures,0,1,bac +3 et plus,bac à bac+2,1,5
MS,Féminin,18,Campagne,8.67,Moins de 2h,4,2,bac +3 et plus,bac +3 et plus,5,4
MS,Féminin,19,Campagne,10.33,5 à 10 heures,4,1,baccalauréat,bac à bac+2,5,5
MS,Féminin,18,Ville,15.33,2 à 5 heures,4,1,bac à bac+2,brevet,1,4
MS,Féminin,18,Ville,10.67,2 à 5 heures,6,1,brevet,brevet,5,1
MS,Masculin,17,Ville,10.0,Moins de 2h,6,3,bac à bac+2,brevet,2,2
MS,Masculin,18,Campagne,10.67,Moins de 2h,4,3,bac à bac+2,baccalauréat,5,4
